pull_time,club_name,active,console,club_id,division,ten_match_record,total_games,wins,losses,draws,goals_scored,goals_per_match,goals_conceded,goals_conceded_per_match,goal_difference,promotions,holds,relegations,best_season_div,best_season_points,region,stadium,total_rank_points,league_points,cup_points,div_1_titles,other_div_titles,total_trophies
2023-03-20 18:05:16,PEFFY united,Yes,xboxone,1893359,1,WWWWWLLLLL,450,249,71,130,1089,2.42,744,1.65,345,13,32,4,1,25,East Coast US,Municipal de Butarque,7496,7496,0,7,9,16
2023-03-20 18:05:16,Pop City,Yes,xboxone,55099,1,WWWWWWWWWD,303,168,58,77,769,2.54,538,1.78,231,10,22,1,1,25,British Isles,Municipal de Ipurua,5334,5334,0,4,5,9
2023-03-20 18:05:16,Bin Dippers CF,Yes,xboxone,217759,1,WWWWWWWLDD,522,296,70,156,1278,2.45,913,1.75,365,18,32,9,1,25,British Isles,Autism Park,8421,8421,0,6,14,20
2023-03-20 18:05:16,AFC EDL,Yes,xboxone,409089,1,WWWWWWWLDD,398,211,78,109,1025,2.58,746,1.87,279,16,20,7,1,23,British Isles,Ross' Gaff,5592,5592,0,2,12,14
2023-03-20 18:05:16,XPHANTOM ESPORT,Yes,xboxone,4458754,1,WWWWWWLLDD,329,162,55,112,636,1.93,509,1.55,127,15,14,6,1,23,Central America,Cívitas METROPOLITANO,3930,3930,0,1,10,11
2023-03-20 18:05:16,Malokas E S,Yes,xboxone,5440704,1,WWWWWLLLLD,383,196,70,117,793,2.07,571,1.49,222,15,20,6,1,24,South America,CT Malokas,5244,5244,0,3,9,12
2023-03-20 18:05:16,OG silky,Yes,xboxone,4359434,1,WWWWWWWWWW,597,402,83,112,1874,3.14,994,1.66,880,11,54,2,1,25,East Coast US,Estadio Santiago Bernabéu,13737,13737,0,19,11,30
2023-03-20 18:05:16,CF Peques de AZ,Yes,xboxone,7976594,1,WWWWLLLDDD,411,259,57,95,1200,2.92,649,1.58,551,12,30,3,1,25,Central America,Estadio Jahn Reyes,8695,8695,0,12,11,23
2023-03-20 18:05:16,AL3med,Yes,xboxone,171794,1,WWWWWWWLLL,1031,454,178,399,2350,2.28,2175,2.11,175,33,54,24,1,24,Western Europe,Estadio Santiago Bernabéu,10700,10700,0,2,16,18
2023-03-20 18:05:16,Botty Bonkers,Yes,xboxone,2725464,1,WWWWWWWWLD,299,225,33,41,1092,3.65,513,1.72,579,9,25,0,1,25,British Isles,Estadio Santiago Bernabéu,8001,8001,0,15,9,24
2023-03-20 18:05:16,Hog Destroyers,Yes,xboxone,34139,1,WWWWWWWLDD,445,235,73,137,1244,2.8,989,2.22,255,18,22,9,1,25,British Isles,Estádio do SL Benfica,6366,6366,0,5,11,16
2023-03-20 18:05:16,Kosova Allstars,Yes,xboxone,7353779,1,WWWWWLLLDD,789,602,96,91,2251,2.85,775,0.98,1476,9,80,0,1,25,Northern Europe,Fadil Vokrri,23818,23818,0,55,8,63
2023-03-20 18:05:16,Oui H8 Bennduhs,Yes,xboxone,1550294,1,WWWWWWWLDD,492,310,70,112,1455,2.96,911,1.85,544,12,38,3,1,25,British Isles,Mercedes-Benz Stadium,10102,10102,0,15,6,21
2023-03-20 18:05:16,Maybole Loyal,Yes,xboxone,17804,2,WWWLLLLLLD,567,291,94,182,1381,2.44,1098,1.94,283,17,36,9,1,25,British Isles,San Siro,8178,8178,0,4,9,13
2023-03-20 18:05:16,Monopoly Money,Yes,xboxone,495489,1,WWWWWWWWLD,793,465,122,206,2444,3.08,1597,2.01,847,16,64,7,1,25,West Coast US,San Siro,15050,15050,0,17,11,28
2023-03-20 18:05:16,Midnight Crew,Yes,xboxone,6804359,1,WWWWWWLLLD,402,270,46,86,1278,3.18,735,1.83,543,10,34,1,1,25,East Coast US,Estadio Santiago Bernabéu,9087,9087,0,12,10,22
2023-03-20 18:05:16,Y0RKSHIRE TEA,Yes,xboxone,1482784,1,WWWWWWWLDD,500,322,68,110,1514,3.03,866,1.73,648,12,40,3,1,25,British Isles,Cívitas METROPOLITANO,10436,10436,0,15,8,23
2023-03-20 18:05:16,Outside868,Yes,xboxone,5211269,1,WWWWWLLLLD,288,204,36,48,799,2.77,383,1.33,416,9,24,0,1,25,Central America,Old Trafford,7195,7195,0,12,7,19
2023-03-20 18:05:16,Vinigius,Yes,xboxone,57969,1,WWWWWWWLLD,432,244,71,117,1162,2.69,742,1.72,420,13,31,4,1,25,British Isles,The Fortress,7622,7622,0,6,9,15
2023-03-20 18:05:16,IIIH TE CHINGUE,Yes,xboxone,10223849,1,WWWWWWWLLD,217,141,34,42,566,2.61,279,1.29,287,10,13,1,1,25,West Coast US,Hay miguel,4261,4261,0,4,9,13
2023-03-20 18:05:16,youth squad,Yes,xboxone,697984,1,WWWWWLLLLD,539,288,94,157,1578,2.93,1189,2.21,389,16,36,7,1,24,East Coast US,Old Trafford,8422,8422,0,5,12,17
2023-03-20 18:05:16,Vanguarda BR,Yes,xboxone,7854319,1,WWWWWWLLDD,638,411,84,143,1855,2.91,1080,1.69,775,12,56,3,1,25,South America,El Grandioso,14274,14274,0,21,8,29
2023-03-20 18:05:16,XVC BURNLEY FC,Yes,xboxone,14170164,1,WWWWWWLLLD,172,135,18,19,589,3.42,170,0.99,419,9,13,0,1,25,British Isles,St. James' Park,4378,4378,0,5,9,14
2023-03-20 18:05:16,RB LOGICO,Yes,xboxone,10183334,1,WWWWWWWLLL,240,151,42,47,611,2.55,348,1.45,263,10,16,1,1,25,South America,Estádio do Dragão,4956,4956,0,5,9,14
2023-03-20 18:05:16,GoonerNationFc,Yes,xboxone,12321959,1,WWWWWWWDDD,145,114,20,11,517,3.57,194,1.34,323,9,8,0,1,25,East Coast US,Emirates Stadium,3884,3884,0,7,8,15
2023-03-20 18:05:16,Hotel Rivoli,Yes,xboxone,235184,1,WWWWWWLLLD,460,238,69,153,989,2.15,781,1.7,208,18,23,9,1,25,British Isles,Allianz Arena,6179,6179,0,3,14,17
2023-03-20 18:05:16,Norm Reeves,Yes,xboxone,460059,1,WWWWWWLLLD,516,282,100,134,1285,2.49,925,1.79,360,16,33,7,1,25,West Coast US,San Siro,8327,8327,0,6,10,16
2023-03-20 18:05:16,Lvl 100,Yes,xboxone,1081059,1,WWWWWWWWWW,205,135,35,35,637,3.11,361,1.76,276,11,11,2,1,24,East Coast US,Mercedes-Benz Arena,4135,4135,0,5,7,12
